case_id,adduct,category
T01,M+3H,dubious
T02,M-2H,dubious
T03,[M+z]-,dubious
T04,[Cat-2H-C9H4O4]-,isf
T05,M-CO+H,dubious
T06,[Cat-2H-C8H4O2]-,isf
T07,[Cat-2H-H2]-,dubious
T08,[M+C2H3O2]-,dubious
T09,[M-CH3]-,isf
T10,M+TFA-H,ok
T11,[M+COOH]-,dubious
T12,M+CH3COOH-H,ok
T13,[M-H-C2H4O2]2-,isf
T14,M-H+Cl],dubious
T15,[M+H-H2O]-,isf
T16,[M+C2F3O2]-,dubious
T17,Unknown,dubious
T18,[M-2H]2-,dubious
T19,[M-3H]3-,dubious
T20,[Cat-2H]-,dubious
T21,[M-2H-H2O]2-,isf
T22,Precursor ion scan,dubious
T23,M+H,dubious
T24,M-2H],dubious
T25,[M+3Na-6H]3-,dubious
T26,[M-H-C8H10N2O2]-,isf
T27,[2M-H+2i]-,ok
T28,M+C,dubious
T29,[M-H-CH3]-,isf
T30,[M+question]-,dubious
T31,[M-2H]-,dubious
T32,[M+x]-,dubious
T33,[M+H]+,ok
T34,M-H1,ok
T35,[Anion]-,dubious
T36,4M-H,ok
T37,[M+Na+K-4H]2-,dubious
T38,M+Br,ok
T39,[M+OH]-,isf
T40,M-H2O-H,isf
T41,[M-H-2H2O]-,isf
T42,M+2H,dubious
T43,[2M-H+4i]-,ok
T44,M-X,isf
T45,[M-H-C20H30O5]-,isf
